city,confirmed,deaths,estimated_population,confirmed_per_100k_inhabitants,death_rate,pib_per_capita,n_vaccinations,demographic_density,vaccinated,vaccinated_per_100k_inhabitants
LAGOA SECA,2799,47,27617,10135.06174,0.0168,10221.08,19107,240.73,14463,52369.91708005938
LASTRO,483,4,2718,17770.41943,0.0083,9565.46,2582,27.67,1942,71449.59529065489
LIVRAMENTO,992,6,7265,13654.50791,0.006,8012.3,5072,27.53,3878,53379.2154163799
LOGRADOURO,392,10,4369,8972.30488,0.0255,9366.84,2965,103.75,2279,52162.96635385672
LUCENA,1160,19,13214,8778.56819,0.0164,13926.06,7912,131.88,6319,47820.49341607386
MAE D'AGUA,263,8,3999,6576.64416,0.0304,8412.72,2623,16.49,1945,48637.159289822455
MALTA,454,12,5752,7892.90682,0.0264,9324.82,4602,35.93,3457,60100.834492350485
MAMANGUAPE,4971,82,45136,11013.38178,0.0165,15363.07,26825,124.23,21589,47830.999645515774
MANAIRA,530,6,10972,4830.47758,0.0113,7243.39,7449,30.52,5740,52314.98359460445
MARCACAO,876,10,8653,10123.65654,0.0114,9438.51,5960,61.91,4576,52883.3930428753
MARI,2364,43,21866,10811.30522,0.0182,9919.58,15402,136.77,11721,53603.76840757341
MARIZOPOLIS,380,13,6654,5710.85062,0.0342,10554.29,4939,97.04,3745,56281.9356777878
MASSARANDUBA,1278,27,13998,9129.8757,0.0211,8155.26,10642,62.64,7861,56158.02257465352
MATARACA,511,15,8539,5984.3073,0.0294,24306.04,5201,40.19,4167,48799.62524885818
MATINHAS,260,7,4515,5758.5825,0.0269,10954.13,3094,113.34,2379,52691.02990033223
MATO GROSSO,180,1,2926,6151.74299,0.0056,9447.31,1913,32.35,1464,50034.17634996582
MATUREIA,527,12,6630,7948.71795,0.0228,8239.46,5442,70.97,4002,60361.99095022624
MOGEIRO,1142,17,13261,8611.71857,0.0149,10206.03,10100,64.41,7568,57069.60259407284
MONTADAS,325,6,5738,5663.99442,0.0185,8608.98,4428,157.97,3361,58574.416172882535
MONTE HOREBE,559,7,4842,11544.81619,0.0125,7545.17,3206,38.8,2484,51301.115241635685
MONTEIRO,4756,69,33433,14225.46586,0.0145,17381.24,26691,31.28,19933,59620.734005324084
MULUNGU,987,20,9932,9937.57551,0.0203,7969.18,6003,48.48,4705,47372.130487313734
NATUBA,366,7,10451,3502.05722,0.0191,8225.47,6429,51.53,4865,46550.56932350971
NAZAREZINHO,526,18,7286,7219.32473,0.0342,8085.88,5617,38.02,4259,58454.57040900357
NOVA FLORESTA,998,16,10626,9392.05722,0.016,8354.92,7377,222.31,5557,52296.254470167514
NOVA OLINDA,439,9,5920,7415.54054,0.0205,8679.21,4318,72.04,3284,55472.97297297298
NOVA PALMEIRA,591,5,4959,11917.72535,0.0085,8864.51,3440,14.05,2530,51018.35047388587
OLHO D'AGUA,409,8,6462,6329.30981,0.0196,8430.22,4408,11.63,3377,52259.36242649335
OLIVEDOS,337,5,3961,8507.95254,0.0148,9779.82,2857,11.41,2171,54809.39156778591
OURO VELHO,358,2,3046,11753.11884,0.0056,10397.46,2581,22.63,1893,62147.07813525936
PARARI,252,2,1758,14334.47099,0.0079,11378.75,1449,9.78,1071,60921.50170648464
PASSAGEM,147,2,2436,6034.48276,0.0136,9874.21,1796,19.96,1346,55254.51559934319
PATOS,13830,252,108192,12782.83052,0.0182,17789.68,76902,212.82,58897,54437.481514344865
PAULISTA,1341,11,12379,10832.86211,0.0082,11168.6,7854,20.43,6088,49180.06300993618
PEDRA BRANCA,435,6,3802,11441.34666,0.0138,8476.4,2942,32.95,2208,58074.69752761705
PEDRA LAVRADA,322,1,7899,4076.46538,0.0031,9175.23,5300,21.26,3988,50487.40346879352
PEDRAS DE FOGO,2621,56,28533,9185.85497,0.0214,14577.54,18958,67.51,14939,52356.920057477306
PEDRO REGIS,359,7,6114,5871.76971,0.0195,8203.56,3523,78.37,2767,45256.787700359826
PIANCO,2226,32,16111,13816.64701,0.0144,11807.4,11588,27.38,8626,53541.05890385451
PICUI,2111,41,18720,11276.7094,0.0194,10316.32,14173,27.54,10639,56832.26495726495
PILAR,1320,30,11977,11021.12382,0.0227,8621.72,8770,109.29,6699,55932.2033898305
PILOES,249,9,6576,3786.49635,0.0361,11296.25,5028,108.28,3911,59473.84428223844
